id,int_id,airport_int_id,active,code,icao,name,slug,slug_en,alternative_names/0,rank,global_rank_dst,dst_popularity_score,timezone,city/id,city/name,city/code,city/slug,city/continent/id,city/continent/name,city/continent/slug,city/continent/code,city/region/id,city/region/name,city/region/slug,city/autonomous_territory,city/subdivision,city/nearby_country,city/country/id,city/country/name,city/country/slug,city/country/code,location/lat,location/lon,alternative_departure_points/0/id,alternative_departure_points/0/distance,alternative_departure_points/0/duration,alternative_departure_points/1/id,alternative_departure_points/1/distance,alternative_departure_points/1/duration,alternative_departure_points/2/id,alternative_departure_points/2/distance,alternative_departure_points/2/duration,alternative_departure_points/3/id,alternative_departure_points/3/distance,alternative_departure_points/3/duration,alternative_departure_points/4/id,alternative_departure_points/4/distance,alternative_departure_points/4/duration,alternative_departure_points/5/id,alternative_departure_points/5/distance,alternative_departure_points/5/duration,alternative_departure_points/6/id,alternative_departure_points/6/distance,alternative_departure_points/6/duration,alternative_departure_points/7/id,alternative_departure_points/7/distance,alternative_departure_points/7/duration,alternative_departure_points/8/id,alternative_departure_points/8/distance,alternative_departure_points/8/duration,alternative_departure_points/9/id,alternative_departure_points/9/distance,alternative_departure_points/9/duration,alternative_departure_points/10/id,alternative_departure_points/10/distance,alternative_departure_points/10/duration,alternative_departure_points/11/id,alternative_departure_points/11/distance,alternative_departure_points/11/duration,tags/0/tag,tags/0/month_to,tags/0/month_from,tags/1/tag,tags/1/month_to,tags/1/month_from,tags/2/tag,tags/2/month_to,tags/2/month_from,providers/0,providers/1,providers/2,special/0/id,special/0/name,special/0/slug,tourist_region/0/id,tourist_region/0/name,tourist_region/0/slug,tourist_region/1/id,tourist_region/1/name,tourist_region/1/slug,tourist_region/2/id,tourist_region/2/name,tourist_region/2/slug,tourist_region/3/id,tourist_region/3/name,tourist_region/3/slug,car_rentals/0/provider_id,car_rentals/0/providers_locations/0,new_ground,routing_priority,type,alternative_departure_points/12/id,alternative_departure_points/12/distance,alternative_departure_points/12/duration,alternative_departure_points/13/id,alternative_departure_points/13/distance,alternative_departure_points/13/duration,alternative_departure_points/14/id,alternative_departure_points/14/distance,alternative_departure_points/14/duration,special/1/id,special/1/name,special/1/slug,special/2/id,special/2/name,special/2/slug,special/3/id,special/3/name,special/3/slug,special/4/id,special/4/name,special/4/slug,special/5/id,special/5/name,special/5/slug,city/subdivision/id,city/subdivision/name,city/subdivision/slug,city/subdivision/code,alternative_departure_points/15/id,alternative_departure_points/15/distance,alternative_departure_points/15/duration,providers/3,providers/4,car_rentals/0/providers_locations/1,car_rentals/0/providers_locations/2,alternative_names/1,tags/3/tag,tags/3/month_to,tags/3/month_from,tags/4/tag,tags/4/month_to,tags/4/month_from,providers/5,providers/6,providers/7,providers/8,car_rentals/0/providers_locations/3,car_rentals/0/providers_locations/4,car_rentals/0/providers_locations/5,city/autonomous_territory/id,city/autonomous_territory/name,city/autonomous_territory/slug,city/autonomous_territory/code,alternative_departure_points/16/id,alternative_departure_points/16/distance,alternative_departure_points/16/duration,providers/9,alternative_names/2,alternative_departure_points/17/id,alternative_departure_points/17/distance,alternative_departure_points/17/duration,alternative_departure_points/18/id,alternative_departure_points/18/distance,alternative_departure_points/18/duration,alternative_departure_points/19/id,alternative_departure_points/19/distance,alternative_departure_points/19/duration,tourist_region/4/id,tourist_region/4/name,tourist_region/4/slug,tourist_region/5/id,tourist_region/5/name,tourist_region/5/slug,providers/10,providers/11,providers/12,providers/13,special/6/id,special/6/name,special/6/slug,special/7/id,special/7/name,special/7/slug,alternative_departure_points/20/id,alternative_departure_points/20/distance,alternative_departure_points/20/duration,alternative_departure_points/21/id,alternative_departure_points/21/distance,alternative_departure_points/21/duration,car_rentals/0/providers_locations/6,special/8/id,special/8/name,special/8/slug,special/9/id,special/9/name,special/9/slug,special/10/id,special/10/name,special/10/slug,special/11/id,special/11/name,special/11/slug,special/12/id,special/12/name,special/12/slug,special/13/id,special/13/name,special/13/slug,tourist_region/6/id,tourist_region/6/name,tourist_region/6/slug,tourist_region/7/id,tourist_region/7/name,tourist_region/7/slug,tourist_region/8/id,tourist_region/8/name,tourist_region/8/slug,alternative_departure_points/22/id,alternative_departure_points/22/distance,alternative_departure_points/22/duration,alternative_departure_points/23/id,alternative_departure_points/23/distance,alternative_departure_points/23/duration,alternative_departure_points/24/id,alternative_departure_points/24/distance,alternative_departure_points/24/duration,providers/14,providers/15,car_rentals/0/providers_locations/7,car_rentals/0/providers_locations/8,city/nearby_country/id,city/nearby_country/code,city/nearby_country/name,city/nearby_country/slug,alternative_departure_points/25/id,alternative_departure_points/25/distance,alternative_departure_points/25/duration,alternative_departure_points/26/id,alternative_departure_points/26/distance,alternative_departure_points/26/duration,alternative_departure_points/27/id,alternative_departure_points/27/distance,alternative_departure_points/27/duration,alternative_departure_points/28/id,alternative_departure_points/28/distance,alternative_departure_points/28/duration,alternative_departure_points/29/id,alternative_departure_points/29/distance,alternative_departure_points/29/duration,alternative_departure_points/30/id,alternative_departure_points/30/distance,alternative_departure_points/30/duration,alternative_departure_points/31/id,alternative_departure_points/31/distance,alternative_departure_points/31/duration,alternative_departure_points/32/id,alternative_departure_points/32/distance,alternative_departure_points/32/duration,alternative_departure_points/33/id,alternative_departure_points/33/distance,alternative_departure_points/33/duration,alternative_departure_points/34/id,alternative_departure_points/34/distance,alternative_departure_points/34/duration,alternative_departure_points/35/id,alternative_departure_points/35/distance,alternative_departure_points/35/duration,alternative_departure_points/36/id,alternative_departure_points/36/distance,alternative_departure_points/36/duration,alternative_departure_points/37/id,alternative_departure_points/37/distance,alternative_departure_points/37/duration,alternative_departure_points/38/id,alternative_departure_points/38/distance,alternative_departure_points/38/duration,alternative_departure_points/39/id,alternative_departure_points/39/distance,alternative_departure_points/39/duration,alternative_names/3,car_rentals/0/providers_locations/9,car_rentals/0/providers_locations/10,tags/5/tag,tags/5/month_to,tags/5/month_from
POP,5381,5381,TRUE,POP,MDPP,Gregorio Luperón International,gregorio-luperon-international-puerto-plata-dominican-republic,gregorio-luperon-international-puerto-plata-dominican-republic,Aeropuerto Internacional Gregorio Luperón,384,201,172467,America/Santo_Domingo,puerto-plata_do,Puerto Plata,POP,puerto-plata-dominican-republic,north-america,North America,north-america,NA,caribbean,Caribbean,caribbean,,,,DO,Dominican Republic,dominican-republic,DO,19.757778,-70.57,AZS,181.95,11256.7,JBQ,204.89,10572.8,SDQ,236.73,12006.2,STI,67.54,4346.2,,,,,,,,,,,,,,,,,,,,,,,,,beach,-1,-1,diving&snorkeling,-1,-1,,,,1175,1282,,,,,autumn-sun_poi,Autumn Sun,autumn-sun,greater-antilles_poi,Greater Antilles,greater-antilles,,,,,,,1175,10369,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137794,927348,,,,,,,,,,,,500263,401433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFF,2284,2284,TRUE,GFF,YGTH,Griffith,griffith-griffith-new-south-wales-australia,griffith-griffith-new-south-wales-australia,,2048,733,3200,Australia/Sydney,griffith_ns_au,Griffith,GFF,griffith-new-south-wales-australia,oceania,Oceania,oceania,OC,australasia,Australasia,australasia,,,,AU,Australia,australia,AU,-34.253889,146.061667,NRA,101.85,5638.1,WGA,205.6,10356.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,romance,-1,-1,sightseeing,-1,-1,,,,1175,1277,,,,,,,,,,,,,,,,,1175,1153953,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,NS_AU,New South Wales,new-south-wales-australia,NSW,,,,,,609143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRY,408,408,TRUE,GRY,BIGR,Grímsey,grimsey-grimsey-iceland,grimsey-grimsey-iceland,,2048,1119,664,Atlantic/Reykjavik,grimsey_is,Grimsey,GRY,grimsey-iceland,europe,Europe,europe,EU,northern-europe,Northern Europe,northern-europe,,,,IS,Iceland,iceland,IS,66.545833,-18.017222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGZ,658,658,TRUE,YGZ,CYGZ,Grise Fiord,grise-fiord-grise-fiord-nunavut-canada,grise-fiord-grise-fiord-nunavut-canada,,2048,1424,92,America/Iqaluit,grise-fiord_nu_ca,Grise Fiord,YGZ,grise-fiord-nunavut-canada,north-america,North America,north-america,NA,northern-america,Northern America,northern-america,,,,CA,Canada,canada,CA,76.426667,-82.9125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,,,,,,,1277,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,NU_CA,Nunavut,nunavut-canada,NU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRQ,86,86,TRUE,GRQ,EHGG,Groningen Airport Eelde,groningen-airport-eelde-groningen-netherlands,groningen-airport-eelde-groningen-netherlands,,1647,546,9490,Europe/Amsterdam,groningen_nl,Groningen,GRQ,groningen-netherlands,europe,Europe,europe,EU,western-europe,Western Europe,western-europe,,,,NL,Netherlands,netherlands,NL,53.125,6.583333,NL-GRON-GRON,13.81,766.8,FMO,164.2,7279.3,BRE,181.71,7839.1,NL-ASSE-TRAI,19.14,1189.4,AMS,200.69,9244.6,NRN,230.56,11462.2,DTM,233.35,9755,RTM,242.41,10997.2,EIN,248.81,11376,DUS,249.43,9736.8,NL-BEDU-TRAI,26.43,1717.5,NL-BEIL-TRAI,37.61,1847.6,sightseeing,-1,-1,activities,-1,-1,,,,1175,1277,,flevopolder_poi,Flevopolder,flevopolder,groningen-province_poi,Groningen Province,groningen-province,pieterpad_poi,PieterPad,pieterpad,,,,,,,1175,435243,FALSE,0,airport,NL-APPI-TRAI,39.93,2442.4,NL-DRAC-OOST,44.35,2136.3,NL-EMME-TRAI,47.5,2387,,,,,,,,,,,,,,,,,,,,NL-HARE-TRAI,9.45,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTE,8881,8881,TRUE,GTE,YGTE,Groote Eylandt,groote-eylandt-groote-eylandt-northern-territory-australia,groote-eylandt-groote-eylandt-northern-territory-australia,,2048,1015,732,Australia/Darwin,groote-eylandt_nt_au,Groote Eylandt,GTE,groote-eylandt-northern-territory-australia,oceania,Oceania,oceania,OC,australasia,Australasia,australasia,,,,AU,Australia,australia,AU,-13.9725,136.458611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sports,-1,-1,adventure,-1,-1,,,,1277,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,NT_AU,Northern Territory,northern-territory-australia,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRV,81,81,TRUE,GRV,,Grozny,grozny-grozny-russia,grozny-grozny-russia,Грозный,2048,580,3553,Europe/Moscow,grozny_nk_ru,Grozny,GRV,grozny-russia,asia,Asia,asia,AS,western-asia,Western Asia,western-asia,,,,RU,Russia,russia,RU,43.388333,45.7,OGZ,121.82,6534.3,MCX,199.64,10434.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,events,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,NK_RU,North Caucasus Federal District,north-caucasus-federal-district-russia,NK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTZ,8895,8895,TRUE,GTZ,,Grumeti Kirawira B,grumeti-kirawira-b-grumeti-game-reserve-tanzania,grumeti-kirawira-b-grumeti-game-reserve-tanzania,,1864,1138,316,Africa/Dar_es_Salaam,grumeti_tz,Grumeti Game Reserve,GTZ,grumeti-game-reserve-tanzania,africa,Africa,africa,AF,eastern-africa,Eastern Africa,eastern-africa,,,,TZ,Tanzania,tanzania,TZ,-2.160833,34.225,MWZ,189.61,11028.1,KEU,208.28,17502.5,SEU,91.8,7790.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDL,1928,1928,TRUE,GDL,MMGL,Guadalajara International,guadalajara-international-guadalajara-mexico,guadalajara-international-guadalajara-mexico,Aeropuerto Internacional de Guadalajara,31,58,1119019,America/Mexico_City,guadalajara_mx,Guadalajara,GDL,guadalajara-mexico,north-america,North America,north-america,NA,central-america,Central America,central-america,,,,MX,Mexico,mexico,MX,20.521667,-103.31111,CLQ,199.2,9694.5,MX-GUAD-PLAZ,21.86,1702.3,AGU,224.93,10933.1,TPQ,229.4,11707,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,nightlife,-1,-1,,,,1282,,,,,,jalisco_poi,Jalisco,jalisco,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNM,21542,385,TRUE,GNM,SNGI,Guanambi Airport,guanambi-airport-guanambi-state-of-bahia-brazil,guanambi-airport-guanambi-state-of-bahia-brazil,,2048,645,6333,America/Bahia,guanambi_ba_br,Guanambi,GNM,guanambi-state-of-bahia-brazil,south-america,South America,south-america,SA,southern-america,Southern America,southern-america,,,,BR,Brazil,brazil,BR,-14.208056,-42.746111,VDC,271.71,15646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,BA_BR,State of Bahia,state-of-bahia-brazil,BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYS,5975,5975,TRUE,GYS,ZUGU,Guangyuan Panlong,guangyuan-panlong-guangyuan-china,guangyuan-panlong-guangyuan-china,广元盘龙机场,2048,989,723,Asia/Shanghai,guangyuan_cn,Guangyuan,GYS,guangyuan-china,asia,Asia,asia,AS,eastern-asia,Eastern Asia,eastern-asia,,,,CN,China,china,CN,32.39,105.693056,MIG,162.76,7087.2,BZX,172.64,7577.1,HZG,205.86,8537.7,NAO,239.4,10414.6,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,family fun,-1,-1,,,,,,,,,,sichuan_poi,Sichuan,sichuan,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,3895,3895,TRUE,CAN,ZGGG,Guangzhou Baiyun International,guangzhou-baiyun-international-guangzhou-china,guangzhou-baiyun-international-guangzhou-china,广州白云国际机场,148,64,734952,Asia/Shanghai,guangzhou_cn,Guangzhou,CAN,guangzhou-china,asia,Asia,asia,AS,eastern-asia,Eastern Asia,eastern-asia,,,,CN,China,china,CN,23.3925,113.298889,SZX,133.32,5435.4,HUZ,165.31,7287.6,ZUH,180.15,8044.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,romance,-1,-1,sightseeing,-1,-1,,,,1175,,,jinshazhou_poi,Jinshazhou,jinshazhou,guangdong_poi,Guangdong,guangdong,nansha_poi,Nansha,nansha,lantau-island_poi,Lantau Island,lantau-island,guangzhou-area_poi,Guangzhou Area,guangzhou-area,1175,1125686,FALSE,0,airport,,,,,,,,,,zhongshan-island_poi,Zhongshan Island,zhongshan-island,xiaoguwei_poi,Xiaoguwei,xiaoguwei,tian-tan-buddha_poi,Tian Tan Buddha,tian-tan-buddha,tsing-yi_poi,Tsing Yi,tsing-yi,the-peak-hong-kong_poi,"The Peak, Hong Kong",the-peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,haizhu_poi,Haizhu,haizhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPI,9568,9568,TRUE,GPI,SKGP,Guapi,guapi-guapi-colombia,guapi-guapi-colombia,Aeropuerto Juan Casiano,842,976,933,America/Bogota,guapi_co,Guapi,GPI,guapi-colombia,south-america,South America,south-america,SA,southern-america,Southern America,southern-america,,,,CO,Colombia,colombia,CO,2.57,-77.898333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,,,,,,,1277,,,,,,,,,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT,2555,2555,TRUE,AGT,SGES,Guaraní International,guarani-international-ciudad-del-este-paraguay,guarani-international-ciudad-del-este-paraguay,Aeropuerto Internacional Guaraní,1690,672,4235,America/Asuncion,ciudad-del-este_py,Ciudad del Este,AGT,ciudad-del-este-paraguay,south-america,South America,south-america,SA,southern-america,Southern America,southern-america,,,,PY,Paraguay,paraguay,PY,-25.455556,-54.843611,CAC,162.64,8979.3,IGU,47.58,3409.1,IGR,62.52,4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,nightlife,-1,-1,romance,-1,-1,,,,1175,1277,,iguazu-falls_poi,Iguazu Falls,iguazu-falls,,,,,,,,,,,,,1175,1185356,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPU,10221,10221,TRUE,WPU,SCGZ,Guardiamarina Zañartu,guardiamarina-zanartu-puerto-williams-chile,guardiamarina-zanartu-puerto-williams-chile,Aeródromo Guardiamarina Zañartu,1306,942,1111,America/Punta_Arenas,puerto-williams_cl,Puerto Williams,WPU,puerto-williams-chile,south-america,South America,south-america,SA,southern-america,Southern America,southern-america,,,,CL,Chile,chile,CL,-54.931111,-67.626667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,,,,,,,,,,,,,magallanes_poi,Magallanes,magallanes,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLN,9125,9125,TRUE,GLN,,Guelmim,guelmim-guelmim-morocco,guelmim-guelmim-morocco,مطار كلميم,1025,810,1613,Africa/Casablanca,guelmim_ma,Guelmim,GLN,guelmim-morocco,africa,Africa,africa,AF,northern-africa,Northern Africa,northern-africa,,,,MA,Morocco,morocco,MA,29.026667,-10.050278,TTA,144,7475.8,AGA,206.07,13504.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unusual,-1,-1,,,,,,,,,,,,,autumn-sun_poi,Autumn Sun,autumn-sun,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELU,8598,8598,TRUE,ELU,DAUO,Guemar,guemar-el-oued-algeria,guemar-el-oued-algeria,مطار قمار,1346,737,3976,Africa/Algiers,el-oued_dz,El Oued,ELU,el-oued-algeria,africa,Africa,africa,AF,northern-africa,Northern Africa,northern-africa,,,,DZ,Algeria,algeria,DZ,33.512778,6.782778,TGR,112.88,6703.8,TOE,149.37,8772.7,BSK,201.81,11763.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,,,,,,,el-oued-province_poi,El Oued Province,el-oued-province,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCI,7666,7666,TRUE,GCI,EGJB,Guernsey,guernsey-saint-peter-port-guernsey,guernsey-saint-peter-port-guernsey,,962,368,42781,Europe/Guernsey,saint-peter-port_gg,Saint Peter Port,GCI,saint-peter-port-guernsey,europe,Europe,europe,EU,northern-europe,Northern Europe,northern-europe,,,,GG,Guernsey,guernsey,GG,49.434722,-2.601944,BOH,180.48,13259.7,RNS,181.86,10998.3,SOU,221.73,14906.2,ACI,55.78,4800.9,JER,65.68,4488.7,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,1175,,,mont-st-michel_poi,Mont St Michel,mont-st-michel,channel-islands_poi,Channel Islands,channel-islands,,,,,,,,,,1175,31606,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWL,7844,7844,TRUE,KWL,ZGKL,Guilin Liangjiang International,guilin-liangjiang-international-guilin-china,guilin-liangjiang-international-guilin-china,桂林两江国际机场,2010,512,11967,Asia/Shanghai,guilin_cn,Guilin,KWL,guilin-china,asia,Asia,asia,AS,eastern-asia,Eastern Asia,eastern-asia,,,,CN,China,china,CN,25.218056,110.039167,LZH,164.17,7808,WGN,234.51,10570.9,HZH,240.68,10726,,,,,,,,,,,,,,,,,,,,,,,,,,,,activities,-1,-1,,,,,,,,,,,,,guangxi_poi,Guangxi,guangxi,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPN,4850,4850,TRUE,PPN,SKPP,Guillermo León Valencia,guillermo-leon-valencia-popayan-colombia,guillermo-leon-valencia-popayan-colombia,Aeropuerto Guillermo León Valencia,418,575,7377,America/Bogota,popayan_co,Popayán,PPN,popayan-colombia,south-america,South America,south-america,SA,southern-america,Southern America,southern-america,,,,CO,Colombia,colombia,CO,2.454444,-76.609444,PTX,152.08,11005.8,CLO,154.79,9784,PSO,219.6,19935.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,,,,,,,1175,1277,1282,,,,,,,,,,,,,,,,1175,4247905,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWE,4720,4720,TRUE,KWE,ZUGY,Guiyang Longdongbao International,guiyang-longdongbao-international-guiyang-china,guiyang-longdongbao-international-guiyang-china,贵阳龙洞堡国际机场,2043,491,13184,Asia/Shanghai,guiyang_cn,Guiyang,KWE,guiyang-china,asia,Asia,asia,AS,eastern-asia,Eastern Asia,eastern-asia,,,,CN,China,china,CN,26.538611,106.800833,AVA,113.89,4991,ZYI,189.44,8115,WMT,198.58,8851.2,BFJ,210.56,9463.6,,,,,,,,,,,,,,,,,,,,,,,,,sightseeing,-1,-1,nightlife,-1,-1,,,,,,,,,,hunan_poi,Hunan,hunan,,,,,,,,,,,,FALSE,0,airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
